file,line,keyword,code_snippet,risk_level,explanation,needs_modification
src/stage2_qc_pipeline.py,27,id,"""id_col"": ""id"",",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,28,class,"""label_col"": ""class"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,29,gender,"""gender_col"": ""gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,31,id,"""metadata_cols"": [""id"", ""gender"", ""class""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,31,gender,"""metadata_cols"": [""id"", ""gender"", ""class""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,31,class,"""metadata_cols"": [""id"", ""gender"", ""class""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,32,sex_male,"""sex_male_rule"": ""sex_male = gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,32,gender,"""sex_male_rule"": ""sex_male = gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,39,id,"""id_col"": ""ID"",",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,39,ID,"""id_col"": ""ID"",",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,40,Status,"""label_col"": ""Status"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,41,gender,"""gender_col"": ""Gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,41,Gender,"""gender_col"": ""Gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,42,Recording,"""recording_col"": ""Recording"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,43,ID,"""metadata_cols"": [""ID"", ""Recording"", ""Status"", ""Gender""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,43,Recording,"""metadata_cols"": [""ID"", ""Recording"", ""Status"", ""Gender""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,43,Gender,"""metadata_cols"": [""ID"", ""Recording"", ""Status"", ""Gender""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,43,Status,"""metadata_cols"": [""ID"", ""Recording"", ""Status"", ""Gender""],",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,44,sex_male,"""sex_male_rule"": ""sex_male = 1 - Gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,44,Gender,"""sex_male_rule"": ""sex_male = 1 - Gender"",",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,67,sex_male,"def add_sex_male(df: pd.DataFrame, dataset_key: str) -> pd.DataFrame:",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,71,sex_male,"out[""sex_male""] = out[cfg[""gender_col""]]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,71,gender,"out[""sex_male""] = out[cfg[""gender_col""]]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,73,sex_male,"out[""sex_male""] = 1 - out[cfg[""gender_col""]]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,73,gender,"out[""sex_male""] = 1 - out[cfg[""gender_col""]]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,81,sex_male,"excluded = set(cfg[""metadata_cols""]) | {""sex_male""}",safe,"Metadata/label column appears in validation, exclusion, audit, assignment, or post-hoc description.",no
src/stage2_qc_pipeline.py,122,.groupby(,"for label_value, group in df.groupby(cfg[""label_col""], dropna=False):",safe,"Pattern is used for configuration, reporting, grouping, or explicit exclusion.",no
src/stage2_qc_pipeline.py,135,id,"id_col = cfg[""id_col""]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
src/stage2_qc_pipeline.py,137,gender,"gender_col = cfg[""gender_col""]",safe,Metadata/label token occurrence is not evidence of feature leakage by itself.,no
