stage,check_name,expected,observed,status,severity,evidence_file,notes
Stage 1,Dataset 1 source file exists,pd_speech_features.csv,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,pass,critical,data,
Stage 1,Dataset 2 source file exists,ReplicatedAcousticFeatures-ParkinsonDatabase.csv,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,pass,critical,data,
Stage 1,Dataset 1 code uses header=1,"pd.read_csv(..., header=1)",header=1 found,pass,critical,src/stage2_qc_pipeline.py,No standalone stage1_data_audit.py exists; stage2_qc_pipeline.py is the source of truth.
Stage 1,Dataset 1 raw shape,"(756, 755)","(756, 755)",pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 raw shape,"(240, 48)","(240, 48)",pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 metadata columns,"['id', 'gender', 'class']","['id', 'gender', 'class']",pass,high,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 metadata columns,"['ID', 'Recording', 'Status', 'Gender']","['ID', 'Recording', 'Status', 'Gender']",pass,high,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 acoustic feature count,752,752,pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 acoustic feature count,44,44,pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 fully duplicated row count,1,1,pass,high,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 1 missing values,0,0,pass,high,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 missing values,0,0,pass,high,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 subject label conflicts,0,0,pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 subject label conflicts,0,0,pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 2,Dataset 1 ready row count after deduplication,755,755,pass,critical,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 1 ready column count,756,756,pass,high,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 2 prepared shape,"(240, 49)","(240, 49)",pass,high,results/model_ready_dataset2_prepared.csv,
Stage 2,Dataset 1 sex_male equals gender,all rows sex_male == gender,ok,pass,high,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 2 sex_male equals 1 - Gender,all rows sex_male == 1 - Gender,ok,pass,high,results/model_ready_dataset2_prepared.csv,
Stage 2,Original gender columns retained,gender and Gender retained,dataset1 gender=True; dataset2 Gender=True,pass,medium,results,
Stage 2,Dataset 1 subject record count distribution,"{2: 1, 3: 251}","{2: 1, 3: 251}",pass,critical,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 2 prepared acoustic values unchanged,only sex_male added; acoustic columns unchanged,same_columns=True; same_values=True,pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv; results/model_ready_dataset2_prepared.csv,
Stage 2,dataset1_class_sex_male_crosstab_record.csv exists,file exists,results/dataset1_class_sex_male_crosstab_record.csv,pass,medium,results/dataset1_class_sex_male_crosstab_record.csv,
Stage 2,dataset1_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset1_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset1_class_sex_male_crosstab_subject.csv,
Stage 2,dataset2_class_sex_male_crosstab_record.csv exists,file exists,results/dataset2_class_sex_male_crosstab_record.csv,pass,medium,results/dataset2_class_sex_male_crosstab_record.csv,
Stage 2,dataset2_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset2_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset2_class_sex_male_crosstab_subject.csv,
Stage 3,Uses StratifiedGroupKFold or GroupKFold,grouped CV code present,present,pass,critical,src/stage3_baseline_models.py,
Stage 3,No executable train_test_split import/call,no row-level train_test_split call,no call,pass,critical,src/stage3_baseline_models.py,
Stage 3,Fold split audit overlap count,0,0,pass,critical,results/stage3_fold_split_audit.csv,
Stage 3,Fold splitter names,['StratifiedGroupKFold'],['StratifiedGroupKFold'],pass,high,results/stage3_fold_split_audit.csv,
