stage,check_name,expected,observed,status,severity,evidence_file,notes
Stage 1,Dataset 1 metadata columns,"['id', 'gender', 'class']","['id', 'gender', 'class']",pass,high,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 metadata columns,"['ID', 'Recording', 'Status', 'Gender']","['ID', 'Recording', 'Status', 'Gender']",pass,high,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 acoustic feature count,752,752,pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 acoustic feature count,44,44,pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 2,Dataset 1 sex_male equals gender,all rows sex_male == gender,ok,pass,high,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 2 sex_male equals 1 - Gender,all rows sex_male == 1 - Gender,ok,pass,high,results/model_ready_dataset2_prepared.csv,
Stage 2,dataset1_class_sex_male_crosstab_record.csv exists,file exists,results/dataset1_class_sex_male_crosstab_record.csv,pass,medium,results/dataset1_class_sex_male_crosstab_record.csv,
Stage 2,dataset1_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset1_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset1_class_sex_male_crosstab_subject.csv,
Stage 2,dataset2_class_sex_male_crosstab_record.csv exists,file exists,results/dataset2_class_sex_male_crosstab_record.csv,pass,medium,results/dataset2_class_sex_male_crosstab_record.csv,
Stage 2,dataset2_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset2_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset2_class_sex_male_crosstab_subject.csv,
Stage 3,acoustic_only excludes sex_male,metadata and sex_male excluded,exclusion expression found,pass,critical,src/stage3_baseline_models.py,
Stage 4,Subject-level acoustic feature count,752,752,pass,critical,results/stage4_subject_level_feature_table_dataset1.csv,
Stage 4,Top20/Top50 forbidden metadata features,[],[],pass,critical,results/stage4_top20_biomarkers_dataset1.csv; results/stage4_top50_biomarkers_dataset1.csv,
Stage 4,XGBoost/SHAP forbidden metadata features,[],[],pass,critical,results/stage4_xgboost_importance_dataset1.csv; results/stage4_shap_importance_dataset1.csv,
Stage 5,Uses Stage 4 subject-level feature table,Stage 4 subject table,found,pass,critical,src/stage5_pd_two_cluster_phenotyping.py,
Stage 5,Input audit acoustic feature count,752,752,pass,critical,results/stage5_pd_subject_clustering_input_audit.csv,
Stage 5,Top20 feature count,20,20,pass,high,results/stage5_pd_subject_clustering_input_audit.csv,
Stage 5,Top50 feature count,50,50,pass,high,results/stage5_pd_subject_clustering_input_audit.csv,
Stage 5,Candidate count covers feature sets and methods,21 candidates with 3 methods,"rows=21; methods=['AgglomerativeClustering', 'GaussianMixture', 'KMeans']",pass,medium,results/stage5_clustering_metrics.csv,
Stage 5,Cluster input excludes forbidden columns by code,metadata and label token exclusion,found,pass,critical,src/stage5_pd_two_cluster_phenotyping.py,
Stage 5,Cluster-label classifier uses selected acoustic features,features only; labels are cluster labels,found,pass,high,src/stage5_pd_two_cluster_phenotyping.py,
Stage 5,Report names classifier as cluster-label classifier,cluster-label classifier,found,pass,high,results/stage5_two_cluster_report.md,
Stage 5,Report avoids treating clusters as true clinical labels,no unguarded clinical symptom labels,none found,pass,critical,results/stage5_two_cluster_report.md,Clinical terms are acceptable only when explicitly negated or guarded.
Stage 6,Uses Stage 4 subject-level feature table,Stage 4 subject table,found,pass,critical,src/stage6_pd_six_cluster_phenotyping.py,
Stage 6,Input audit acoustic feature count,752,752,pass,critical,results/stage6_six_cluster_input_audit.csv,
Stage 6,Cluster input excludes forbidden columns by code,metadata and label token exclusion,found,pass,critical,src/stage6_pd_six_cluster_phenotyping.py,
Stage 6,Report names classifier as cluster-label classifier,six-cluster-label classifier,found,pass,high,results/stage6_six_cluster_report.md,
Stage 6,Report avoids treating clusters as true clinical labels,no unguarded clinical symptom labels,"['静止性震颤', '运动迟缓', '肌肉僵直', '疼痛', '痴呆', '睡眠障碍']",pass,critical,results/stage6_six_cluster_report.md,Clinical terms are acceptable only when explicitly negated or guarded.
Cross-stage,All-acoustic feature count,752,752,pass,critical,results/stage4_subject_level_feature_table_dataset1.csv,
Static code audit,High-risk pattern scan fail count,0,0,pass,critical,results/audit_static_code_risk_patterns.csv,warning_count=227; warnings require explanation but are not automatic redlines.
